Xpos,Ypos,TMS,C1S,VCL,GAPDH
33721.3294392523,69.6927570093458,375,16,8,938
33771.2252437147,924.319138019497,246,8,9,531
33776.9861275089,560.762101534829,235,4,8,651
33858.8493912123,745.852832186342,213,11,11,442
33886.225788901,472.473884657236,329,5,10,819
33897.0401154401,589.010678210678,140,2,3,400
33976.6501214856,155.483859770913,266,6,10,897
34052.0782227785,681.73717146433,133,0,4,438
34055.3090219224,296.900505902192,287,9,6,694
34108.602637206,442.078759800428,551,14,24,1113
34159.5845511482,177.171711899791,211,3,7,846
34272.6057767369,294.124512099922,180,1,11,544
34271.7734221874,919.169737357899,261,5,3,1140
34303.4741744284,148.676968670618,223,3,8,517
34333.3075785582,395.609242144177,349,11,13,902
34396.8931061193,581.633359153111,209,12,15,705
34383.3006728343,154.04079058032,238,9,9,574
34389.0766197183,48.7977464788732,148,6,5,410
34513.9340318199,594.020178502134,118,2,7,355
34529.3865185559,447.016409997475,153,2,10,524
34571.488381918,907.789184621884,117,1,16,559
34641.087522604,289.620976491863,109,7,9,389
34663.7872445211,552.722974636789,216,2,23,642
34754.7586088154,130.739669421488,270,9,8,1211
34964.1890584295,349.590993673242,184,4,4,533
35014.5198843095,423.365871294288,230,5,4,584
35071.5473933649,278.570616113744,168,7,5,789
35078.8010550113,545.970610399397,74,1,1,262
35121.6673740053,467.551724137931,113,1,2,245
35234.7973160574,425.032392410921,148,2,12,356
35311.9155913978,417.023924731183,272,7,6,475
35161.8621543541,564.973173751548,78,0,3,324
35177.0998293515,186.953071672355,237,2,11,851
35290.1796273292,432.36149068323,130,1,11,269
35250.918128655,309.922723475355,145,2,14,302
35256.4148119724,60.9213353798926,171,6,5,601
35254.1021629084,177.001840773125,160,4,7,360
35330.8890968648,291.299017313992,153,6,7,399
35380.0106803219,628.142355523043,328,4,29,898
35436.1169458763,52.3775773195876,165,2,0,429
35444.9182879377,176.003891050584,405,8,10,838
35520.978555872,580.56022784386,707,26,29,1542
35828.2348352704,222.347000372381,793,31,84,2183
35916.5698924731,60.0271979759646,282,20,24,890
36252.8492561599,1339.03079962808,21,1,2,81
36388.0569832402,472.809683426443,395,13,4,406
36360.2709265176,603.623003194888,229,6,8,210
36423.9131576184,855.248136091568,266,8,92,1010
36578.7750032014,552.435907286464,362,6,46,699
36667.2445003143,366.384663733501,209,2,9,344
36783.9289860021,141.489245476272,239,9,5,399
36827.3396801219,690.936024371668,428,5,9,312
36914.2528977871,38.7913593256059,90,6,6,83
36918.754679803,481.972413793103,67,6,8,43
470.996630815084,1833.65647272256,348,6,38,1788
566.142371344366,1342.33280435275,0,0,27,1129
814.689307508623,1103.61687450252,24,1,16,661
854.918600368324,1252.19337016575,19,3,8,521
1226.74811205847,1285.35663824604,269,10,26,669
1233.95100040833,1030.08003266639,182,1,4,714
1251.53300076746,1378.2570990023,358,9,20,820
1347.08406647116,1171.28087324862,183,3,11,570
1476.02667778241,1733.727386411,87,3,7,361
1550.44206349206,1685.31111111111,127,2,14,352
1652.25571483921,1808.62650135606,78,2,11,435
1729.42875453963,1491.47853022858,238,5,12,737
1740.79973357016,1693.15053285968,56,0,1,232
1778.70510396975,1602.73487712665,71,1,1,295
1798.6088794926,1757.8778012685,108,1,4,367
1814.55322195704,1538.24105011933,76,1,5,248
1836.73153779322,1182.10208514335,201,4,27,915
2136.2880080281,1584.80732563974,73,1,3,336
2210.25821414766,1557.25512176266,97,1,2,420
1928.83094724456,1141.79309668562,117,0,15,418
1936.66926465605,1548.78956286005,36,2,10,297
2015.29996305874,1071.39268562985,118,0,5,380
2025.25937904269,1723.88518758085,87,3,4,458
2027.03149001536,1450.65322580645,108,0,4,317
2177.78621209267,1570.04012055001,46,0,4,226
2156.65476190476,1302.17956349206,93,2,14,489
2167.34684453566,1803.3632632119,84,0,6,505
2240.42690945878,1711.34344967122,98,2,5,631
2246.81713221602,1439.7739292365,76,2,3,536
2325.11550632911,1491.06487341772,279,1,14,1145
2355.79554787119,1025.39464015561,130,1,11,535
